x,y,width,height,area
1140,1926,22,20,440
1196,1926,22,20,440
1254,1926,22,20,427
1309,1926,22,20,423
451,1929,21,20,420
509,1928,22,21,446
565,1929,22,19,402
623,1928,23,20,414
680,1928,23,20,460
739,1928,23,20,428
1989,2013,22,20,412
2047,2013,21,20,391
2103,2013,21,20,404
2158,2013,23,20,445
2310,2012,23,19,437
1369,2015,21,21,424
1481,2015,22,20,426
1539,2015,22,20,440
1595,2015,21,20,401
1648,2015,22,19,408
1707,2014,21,20,420
1762,2014,22,20,425
1821,2014,22,19,418
1877,2014,22,19,418
1934,2014,22,19,402
912,2017,23,21,459
969,2017,22,21,431
1025,2017,23,20,444
1084,2017,21,20,420
1142,2017,21,20,420
1197,2017,22,20,415
1255,2016,22,20,422
1310,2016,21,20,420
1424,2016,22,20,428
510,2019,22,20,421
567,2019,22,20,440
625,2018,23,21,427
682,2018,23,20,460
741,2018,22,20,440
798,2018,21,20,420
856,2018,22,20,440
452,2020,22,19,418
2309,2187,22,20,440
1879,2189,22,20,440
1936,2189,22,20,423
1991,2189,22,20,423
2048,2188,22,21,424
2103,2188,22,21,446
2159,2188,22,21,451
1370,2191,22,21,427
1426,2191,21,20,403
1483,2191,22,20,440
1541,2190,22,21,446
1596,2190,22,21,445
1651,2190,21,20,420
1708,2190,22,20,440
1764,2190,22,20,434
1823,2190,23,20,443
1086,2193,22,22,433
1144,2193,22,20,424
1199,2193,22,20,440
1257,2192,22,20,421
1313,2192,21,20,420
744,2195,22,20,409
801,2195,21,20,410
859,2195,22,20,440
915,2194,23,21,448
971,2195,22,20,410
1027,2194,23,21,433
455,2196,22,21,441
513,2196,23,21,451
570,2196,22,21,395
628,2196,22,20,424
685,2196,23,20,445
2309,2276,23,21,451
1825,2279,21,20,402
1880,2279,22,20,440
1937,2279,22,20,423
1993,2279,21,19,399
2050,2279,22,19,418
2105,2278,22,20,411
2160,2279,22,19,418
1427,2281,22,21,419
1484,2281,22,20,425
1542,2281,22,20,411
1597,2280,23,21,425
1651,2280,22,21,444
1710,2280,21,20,405
1766,2280,21,20,401
1145,2283,22,21,435
