x,y,width,height,area,group_number
2101,1661,23,20,447,11
2158,1660,23,21,464,11
2311,1657,23,21,468,11
448,1756,22,20,440,12
506,1755,23,21,465,12
563,1755,22,21,430,12
622,1755,22,21,444,12
678,1755,23,20,447,12
737,1755,22,20,421,12
794,1755,22,19,418,12
852,1754,22,20,420,12
909,1754,22,20,428,12
965,1754,23,20,428,12
1022,1754,22,20,440,12
1080,1754,22,20,440,12
1138,1754,21,20,404,12
1194,1754,21,20,392,12
1251,1754,22,20,405,12
1307,1754,21,19,399,12
1365,1753,22,21,429,12
1421,1753,21,20,420,12
1478,1753,22,20,424,12
1536,1753,23,20,423,12
1592,1752,22,20,405,12
1646,1752,21,21,415,12
1704,1752,22,20,409,12
1760,1752,22,20,409,12
1819,1752,22,20,391,12
1875,1752,22,20,428,12
1932,1752,21,19,399,12
1988,1752,21,19,399,12
2046,1752,22,19,418,12
2103,1751,22,20,407,12
2159,1751,23,20,426,12
2313,1749,22,20,440,12
450,1841,22,21,446,13
508,1841,22,21,445,13
565,1841,22,21,445,13
623,1841,22,20,440,13
679,1841,23,20,460,13
738,1840,23,21,436,13
795,1840,22,21,462,13
853,1840,23,22,468,13
910,1840,22,21,443,13
966,1840,23,20,460,13
1023,1840,22,20,440,13
1081,1840,22,20,424,13
1139,1840,22,20,440,13
1195,1839,21,21,441,13
1253,1839,21,21,441,13
1308,1839,22,21,429,13
1366,1839,22,20,410,13
1422,1839,21,20,420,13
1480,1839,21,20,378,13
1537,1839,23,20,424,13
1593,1838,22,21,418,13
1647,1838,22,20,440,13
1706,1838,21,20,404,13
1761,1838,22,21,390,13
1820,1838,22,19,418,13
1876,1838,22,19,402,13
1933,1837,20,20,386,13
1988,1837,22,20,440,13
2046,1837,22,20,440,13
2103,1837,22,20,440,13
2159,1837,23,20,446,13
2313,1836,22,19,418,13
451,1929,21,20,420,14
509,1928,22,21,446,14
565,1929,22,19,402,14
623,1928,23,20,414,14
680,1928,23,20,460,14
739,1928,23,20,428,14
796,1927,22,21,445,14
854,1927,23,21,449,14
911,1927,22,20,440,14
968,1926,22,21,442,14
1024,1927,22,20,440,14
1082,1926,22,21,439,14
1140,1926,22,20,440,14
1196,1926,22,20,440,14
1254,1926,22,20,427,14
1309,1926,22,20,423,14
1368,1925,21,21,424,14
1423,1925,21,21,410,14
1481,1925,21,20,420,14
1538,1925,22,20,423,14
1594,1925,22,20,422,14
1648,1924,21,21,424,14
1706,1924,21,20,420,14
1762,1924,21,20,420,14
1821,1924,22,20,440,14
1877,1923,21,21,424,14
1933,1923,22,21,430,14
1989,1923,21,20,420,14
2046,1923,22,20,440,14
2103,1923,22,21,446,14
2159,1923,23,21,424,14
2311,1922,22,20,422,14
452,2020,22,19,418,15
510,2019,22,20,421,15
567,2019,22,20,440,15
625,2018,23,21,427,15
682,2018,23,20,460,15
741,2018,22,20,440,15
798,2018,21,20,420,15
856,2018,22,20,440,15
912,2017,23,21,459,15
969,2017,22,21,431,15
1025,2017,23,20,444,15
1084,2017,21,20,420,15
1142,2017,21,20,420,15
1197,2017,22,20,415,15
1255,2016,22,20,422,15
1310,2016,21,20,420,15
1369,2015,21,21,424,15
1424,2016,22,20,428,15
1481,2015,22,20,426,15
1539,2015,22,20,440,15
1595,2015,21,20,401,15
1648,2015,22,19,408,15
1707,2014,21,20,420,15
1762,2014,22,20,425,15
1821,2014,22,19,418,15
1877,2014,22,19,418,15
1934,2014,22,19,402,15
1989,2013,22,20,412,15
2047,2013,21,20,391,15
2103,2013,21,20,404,15
2158,2013,23,20,445,15
2310,2012,23,19,437,15
455,2196,22,21,441,16
513,2196,23,21,451,16
570,2196,22,21,395,16
628,2196,22,20,424,16
685,2196,23,20,445,16
744,2195,22,20,409,16
801,2195,21,20,410,16
859,2195,22,20,440,16
915,2194,23,21,448,16
971,2195,22,20,410,16
1027,2194,23,21,433,16
1086,2193,22,22,433,16
1144,2193,22,20,424,16
1199,2193,22,20,440,16
1257,2192,22,20,421,16
1313,2192,21,20,420,16
1370,2191,22,21,427,16
1426,2191,21,20,403,16
1483,2191,22,20,440,16
1541,2190,22,21,446,16
1596,2190,22,21,445,16
1651,2190,21,20,420,16
1708,2190,22,20,440,16
1764,2190,22,20,434,16
1823,2190,23,20,443,16
1879,2189,22,20,440,16
1936,2189,22,20,423,16
1991,2189,22,20,423,16
2048,2188,22,21,424,16
2103,2188,22,21,446,16
2159,2188,22,21,451,16
2309,2187,22,20,440,16
457,2287,22,21,428,17
515,2286,22,21,422,17
572,2287,21,19,399,17
630,2286,22,20,440,17
686,2285,23,21,452,17
746,2285,21,21,425,17
802,2285,22,20,422,17
860,2285,22,20,440,17
917,2285,22,20,440,17
973,2284,22,22,450,17
1029,2284,22,21,462,17
1087,2284,22,20,424,17
1145,2283,22,21,435,17
1200,2283,22,20,425,17
1258,2282,22,21,462,17
1314,2282,21,20,420,17
1372,2282,21,20,406,17
1427,2281,22,21,419,17
1484,2281,22,20,425,17
1542,2281,22,20,411,17
1597,2280,23,21,425,17
1651,2280,22,21,444,17
1710,2280,21,20,405,17
1766,2280,21,20,401,17
1825,2279,21,20,402,17
1880,2279,22,20,440,17
1937,2279,22,20,423,17
1993,2279,21,19,399,17
2050,2279,22,19,418,17
2105,2278,22,20,411,17
2160,2279,22,19,418,17
2309,2276,23,21,451,17
0,2371,7,62,330,18
459,2374,22,21,428,18
516,2373,22,22,447,18
573,2373,22,21,430,18
631,2372,23,22,450,18
688,2372,22,21,462,18
747,2372,22,21,427,18
803,2371,22,21,462,18
861,2372,22,20,440,18
918,2372,22,20,440,18
974,2372,22,20,440,18
1030,2371,23,21,454,18
1088,2370,22,21,431,18
1147,2370,21,20,420,18
1201,2369,23,21,458,18
1259,2368,22,22,445,18
1316,2368,21,21,424,18
1373,2368,21,21,441,18
1429,2367,21,21,441,18
1485,2367,22,21,445,18
1543,2367,22,21,448,18
1599,2366,22,22,466,18
1653,2367,22,20,425,18
1711,2366,22,21,445,18
1767,2366,21,21,441,18
1826,2365,22,21,446,18
1881,2365,23,21,432,18
1939,2365,21,21,423,18
1994,2365,22,21,425,18
2051,2365,22,21,429,18
2106,2365,22,20,426,18
2163,2365,21,21,423,18
2311,2363,22,21,443,18
459,2622,22,22,451,19
518,2622,22,21,444,19
575,2620,22,22,468,19
633,2620,23,21,468,19
690,2619,23,22,486,19
749,2619,22,21,444,19
806,2619,22,21,462,19
864,2618,23,22,454,19
921,2617,22,22,466,19
978,2616,22,22,436,19
1034,2616,22,21,462,19
1092,2615,22,21,462,19
1150,2614,21,22,446,19
1205,2614,22,21,431,19
1263,2613,22,21,447,19
1319,2613,21,21,441,19
1376,2613,22,21,427,19
1432,2612,22,22,451,19
1490,2612,22,21,447,19
1547,2612,22,21,462,19
1603,2612,22,20,440,19
1657,2612,22,21,426,19
1715,2611,22,21,444,19
1771,2611,21,21,423,19
1830,2611,22,21,446,19
1886,2611,22,20,440,19
1943,2611,22,20,423,19
1999,2611,22,20,423,19
2056,2611,22,20,440,19
2112,2611,22,20,423,19
2167,2611,22,20,440,19
2315,2608,22,20,440,19
460,2659,21,20,405,20
518,2658,22,20,424,20
575,2657,22,20,425,20
633,2657,23,20,460,20
690,2656,23,20,460,20
749,2655,22,21,436,20
807,2655,21,21,426,20
865,2654,22,21,462,20
922,2654,22,20,440,20
978,2653,22,20,440,20
1034,2652,23,20,430,20
1093,2651,21,20,420,20
1150,2650,22,20,412,20
1206,2649,22,21,445,20
1264,2649,21,20,420,20
1319,2649,21,19,399,20
1377,2648,22,20,412,20
1433,2648,21,20,420,20
1490,2648,22,20,421,20
1548,2648,22,20,440,20
1604,2648,22,20,377,20
1657,2648,22,20,421,20
1716,2648,21,20,402,20
1771,2648,22,19,418,20
1831,2647,22,20,422,20
1887,2647,22,19,402,20
1944,2646,22,20,424,20
1999,2646,22,20,423,20
2056,2646,22,20,423,20
2112,2646,22,20,440,20
2167,2646,22,20,440,20
2316,2643,21,20,420,20
460,2710,21,21,423,21
518,2709,22,21,462,21
575,2709,22,21,447,21
634,2708,22,21,462,21
691,2707,22,21,443,21
750,2707,22,21,447,21
807,2706,22,21,445,21
865,2706,23,20,460,21
922,2705,22,21,462,21
979,2704,22,20,424,21
1035,2703,22,20,440,21
1093,2702,22,20,413,21
1151,2701,22,20,424,21
1207,2700,21,21,431,21
1264,2700,22,20,440,21
1320,2699,21,21,424,21
1378,2699,21,21,425,21
1433,2699,22,20,428,21
1491,2698,22,21,462,21
1548,2699,23,20,445,21
