x,y,width,height,area,group_number,classification
1873,1401,22,21,427,9,1
1931,1401,21,20,420,9,0
1986,1400,22,21,432,9,1
2044,1401,22,20,440,9,0
2100,1401,22,20,409,9,1
2155,1400,23,21,431,9,0
2308,1397,23,21,483,9,0
443,1489,22,21,462,10,0
502,1489,22,21,444,10,0
558,1490,23,20,449,10,1
617,1489,23,21,446,10,0
674,1489,23,21,469,10,1
734,1489,21,21,441,10,0
790,1489,22,21,445,10,0
848,1489,22,20,440,10,1
905,1489,22,20,425,10,0
961,1489,22,20,425,10,0
1017,1488,23,21,400,10,1
1076,1489,22,20,406,10,0
1134,1489,21,20,404,10,0
1189,1489,23,19,421,10,0
1248,1488,22,20,423,10,0
1303,1488,22,21,415,10,1
1362,1488,21,21,407,10,0
1417,1489,22,19,402,10,0
1475,1488,22,20,440,10,1
1533,1488,22,20,440,10,0
1589,1488,22,20,440,10,0
1643,1488,22,20,410,10,0
1702,1488,21,20,402,10,0
1758,1488,22,20,407,10,1
1817,1488,22,20,405,10,0
1873,1488,22,20,421,10,0
1931,1488,21,19,399,10,0
1987,1488,22,19,404,10,0
2044,1487,22,20,440,10,0
2100,1487,22,20,440,10,0
2155,1487,23,20,460,10,0
2307,1485,24,19,440,10,0
446,1664,22,21,462,11,1
505,1664,22,21,462,11,0
562,1664,22,21,448,11,0
620,1664,23,21,450,11,1
677,1664,23,21,466,11,0
736,1664,22,20,440,11,0
793,1663,22,21,448,11,1
851,1663,22,21,462,11,0
908,1663,22,21,447,11,0
964,1663,22,21,445,11,0
1020,1663,23,21,468,11,1
1078,1663,23,21,427,11,0
1136,1663,22,21,446,11,1
1192,1663,22,20,424,11,0
1250,1663,22,20,425,11,1
1306,1663,21,20,420,11,0
1364,1663,22,20,423,11,0
1420,1662,21,21,428,11,0
1477,1662,22,21,441,11,1
1535,1662,22,21,462,11,0
1591,1662,21,21,441,11,0
1645,1662,21,20,420,11,0
1703,1661,22,21,420,11,1
1759,1662,22,20,423,11,0
1819,1662,21,20,420,11,0
1874,1662,22,20,440,11,0
1931,1662,22,20,424,11,1
1987,1661,22,21,414,11,0
2045,1661,22,21,446,11,0
2101,1661,23,20,447,11,0
2158,1660,23,21,464,11,0
2311,1657,23,21,468,11,1
448,1756,22,20,440,12,1
506,1755,23,21,465,12,0
563,1755,22,21,430,12,1
622,1755,22,21,444,12,0
678,1755,23,20,447,12,1
737,1755,22,20,421,12,0
794,1755,22,19,418,12,0
852,1754,22,20,420,12,0
909,1754,22,20,428,12,1
965,1754,23,20,428,12,0
1022,1754,22,20,440,12,1
1080,1754,22,20,440,12,0
1138,1754,21,20,404,12,0
1194,1754,21,20,392,12,1
1251,1754,22,20,405,12,0
1307,1754,21,19,399,12,0
1365,1753,22,21,429,12,1
1421,1753,21,20,420,12,0
1478,1753,22,20,424,12,0
1536,1753,23,20,423,12,0
1592,1752,22,20,405,12,0
1646,1752,21,21,415,12,1
1704,1752,22,20,409,12,0
1760,1752,22,20,409,12,0
1819,1752,22,20,391,12,0
1875,1752,22,20,428,12,1
1932,1752,21,19,399,12,0
1988,1752,21,19,399,12,0
2046,1752,22,19,418,12,0
2103,1751,22,20,407,12,0
2159,1751,23,20,426,12,0
2313,1749,22,20,440,12,0
450,1841,22,21,446,13,1
508,1841,22,21,445,13,0
565,1841,22,21,445,13,0
623,1841,22,20,440,13,0
679,1841,23,20,460,13,0
738,1840,23,21,436,13,1
795,1840,22,21,462,13,0
853,1840,23,22,468,13,1
910,1840,22,21,443,13,0
966,1840,23,20,460,13,0
1023,1840,22,20,440,13,0
1081,1840,22,20,424,13,1
1139,1840,22,20,440,13,0
1195,1839,21,21,441,13,1
1253,1839,21,21,441,13,0
1308,1839,22,21,429,13,0
1366,1839,22,20,410,13,0
1422,1839,21,20,420,13,0
1480,1839,21,20,378,13,1
1537,1839,23,20,424,13,0
1593,1838,22,21,418,13,0
1647,1838,22,20,440,13,0
1706,1838,21,20,404,13,0
1761,1838,22,21,390,13,1
1820,1838,22,19,418,13,0
1876,1838,22,19,402,13,0
1933,1837,20,20,386,13,0
1988,1837,22,20,440,13,1
2046,1837,22,20,440,13,0
2103,1837,22,20,440,13,0
2159,1837,23,20,446,13,0
2313,1836,22,19,418,13,0
451,1929,21,20,420,14,0
509,1928,22,21,446,14,0
565,1929,22,19,402,14,0
623,1928,23,20,414,14,1
680,1928,23,20,460,14,0
739,1928,23,20,428,14,0
796,1927,22,21,445,14,1
854,1927,23,21,449,14,0
911,1927,22,20,440,14,0
968,1926,22,21,442,14,1
1024,1927,22,20,440,14,0
1082,1926,22,21,439,14,1
1140,1926,22,20,440,14,0
1196,1926,22,20,440,14,0
1254,1926,22,20,427,14,0
1309,1926,22,20,423,14,0
1368,1925,21,21,424,14,0
1423,1925,21,21,410,14,0
1481,1925,21,20,420,14,0
1538,1925,22,20,423,14,0
1594,1925,22,20,422,14,0
1648,1924,21,21,424,14,0
1706,1924,21,20,420,14,0
1762,1924,21,20,420,14,0
1821,1924,22,20,440,14,0
1877,1923,21,21,424,14,0
1933,1923,22,21,430,14,1
1989,1923,21,20,420,14,0
2046,1923,22,20,440,14,0
2103,1923,22,21,446,14,0
2159,1923,23,21,424,14,1
2311,1922,22,20,422,14,0
452,2020,22,19,418,15,0
510,2019,22,20,421,15,0
567,2019,22,20,440,15,1
625,2018,23,21,427,15,0
682,2018,23,20,460,15,0
741,2018,22,20,440,15,1
798,2018,21,20,420,15,0
856,2018,22,20,440,15,0
912,2017,23,21,459,15,1
969,2017,22,21,431,15,0
1025,2017,23,20,444,15,0
1084,2017,21,20,420,15,0
1142,2017,21,20,420,15,0
1197,2017,22,20,415,15,0
1255,2016,22,20,422,15,0
1310,2016,21,20,420,15,1
1369,2015,21,21,424,15,0
1424,2016,22,20,428,15,0
1481,2015,22,20,426,15,0
1539,2015,22,20,440,15,0
1595,2015,21,20,401,15,0
1648,2015,22,19,408,15,1
1707,2014,21,20,420,15,0
1762,2014,22,20,425,15,0
1821,2014,22,19,418,15,0
1877,2014,22,19,418,15,0
1934,2014,22,19,402,15,0
1989,2013,22,20,412,15,1
2047,2013,21,20,391,15,0
2103,2013,21,20,404,15,0
2158,2013,23,20,445,15,0
2310,2012,23,19,437,15,0
455,2196,22,21,441,16,1
513,2196,23,21,451,16,0
570,2196,22,21,395,16,1
628,2196,22,20,424,16,0
685,2196,23,20,445,16,1
744,2195,22,20,409,16,0
801,2195,21,20,410,16,1
859,2195,22,20,440,16,0
915,2194,23,21,448,16,0
971,2195,22,20,410,16,0
1027,2194,23,21,433,16,0
1086,2193,22,22,433,16,1
1144,2193,22,20,424,16,0
1199,2193,22,20,440,16,0
1257,2192,22,20,421,16,0
1313,2192,21,20,420,16,0
1370,2191,22,21,427,16,1
1426,2191,21,20,403,16,0
1483,2191,22,20,440,16,0
1541,2190,22,21,446,16,0
1596,2190,22,21,445,16,0
1651,2190,21,20,420,16,0
1708,2190,22,20,440,16,0
1764,2190,22,20,434,16,1
1823,2190,23,20,443,16,0
1879,2189,22,20,440,16,0
1936,2189,22,20,423,16,0
1991,2189,22,20,423,16,0
2048,2188,22,21,424,16,1
2103,2188,22,21,446,16,0
2159,2188,22,21,451,16,0
2309,2187,22,20,440,16,0
457,2287,22,21,428,17,0
515,2286,22,21,422,17,1
572,2287,21,19,399,17,0
630,2286,22,20,440,17,0
686,2285,23,21,452,17,0
746,2285,21,21,425,17,0
802,2285,22,20,422,17,0
860,2285,22,20,440,17,1
917,2285,22,20,440,17,0
973,2284,22,22,450,17,0
1029,2284,22,21,462,17,0
1087,2284,22,20,424,17,0
1145,2283,22,21,435,17,0
1200,2283,22,20,425,17,1
1258,2282,22,21,462,17,0
1314,2282,21,20,420,17,0
1372,2282,21,20,406,17,0
1427,2281,22,21,419,17,1
1484,2281,22,20,425,17,0
1542,2281,22,20,411,17,0
1597,2280,23,21,425,17,0
1651,2280,22,21,444,17,1
1710,2280,21,20,405,17,0
1766,2280,21,20,401,17,0
1825,2279,21,20,402,17,0
1880,2279,22,20,440,17,0
1937,2279,22,20,423,17,1
1993,2279,21,19,399,17,0
2050,2279,22,19,418,17,0
2105,2278,22,20,411,17,0
2160,2279,22,19,418,17,0
2309,2276,23,21,451,17,1
0,2371,7,62,330,18,1
459,2374,22,21,428,18,0
516,2373,22,22,447,18,0
573,2373,22,21,430,18,0
631,2372,23,22,450,18,1
688,2372,22,21,462,18,0
747,2372,22,21,427,18,0
803,2371,22,21,462,18,1
861,2372,22,20,440,18,0
918,2372,22,20,440,18,0
974,2372,22,20,440,18,0
1030,2371,23,21,454,18,0
1088,2370,22,21,431,18,0
1147,2370,21,20,420,18,0
1201,2369,23,21,458,18,1
1259,2368,22,22,445,18,0
1316,2368,21,21,424,18,0
1373,2368,21,21,441,18,0
1429,2367,21,21,441,18,0
1485,2367,22,21,445,18,0
1543,2367,22,21,448,18,1
1599,2366,22,22,466,18,0
1653,2367,22,20,425,18,0
1711,2366,22,21,445,18,0
1767,2366,21,21,441,18,0
1826,2365,22,21,446,18,1
1881,2365,23,21,432,18,0
1939,2365,21,21,423,18,0
1994,2365,22,21,425,18,0
2051,2365,22,21,429,18,0
2106,2365,22,20,426,18,0
2163,2365,21,21,423,18,0
2311,2363,22,21,443,18,0
459,2622,22,22,451,19,0
518,2622,22,21,444,19,0
575,2620,22,22,468,19,1
633,2620,23,21,468,19,0
690,2619,23,22,486,19,1
749,2619,22,21,444,19,0
806,2619,22,21,462,19,0
864,2618,23,22,454,19,1
921,2617,22,22,466,19,0
978,2616,22,22,436,19,0
1034,2616,22,21,462,19,0
1092,2615,22,21,462,19,1
1150,2614,21,22,446,19,0
1205,2614,22,21,431,19,0
1263,2613,22,21,447,19,0
1319,2613,21,21,441,19,0
1376,2613,22,21,427,19,0
1432,2612,22,22,451,19,0
1490,2612,22,21,447,19,0
1547,2612,22,21,462,19,0
1603,2612,22,20,440,19,0
1657,2612,22,21,426,19,0
1715,2611,22,21,444,19,0
1771,2611,21,21,423,19,0
1830,2611,22,21,446,19,0
1886,2611,22,20,440,19,0
1943,2611,22,20,423,19,0
1999,2611,22,20,423,19,0
2056,2611,22,20,440,19,0
2112,2611,22,20,423,19,0
2167,2611,22,20,440,19,0
2315,2608,22,20,440,19,0
460,2659,21,20,405,20,0
518,2658,22,20,424,20,0
575,2657,22,20,425,20,0
633,2657,23,20,460,20,0
690,2656,23,20,460,20,0
749,2655,22,21,436,20,0
807,2655,21,21,426,20,1
865,2654,22,21,462,20,0
922,2654,22,20,440,20,0
978,2653,22,20,440,20,0
1034,2652,23,20,430,20,1
1093,2651,21,20,420,20,0
1150,2650,22,20,412,20,0
1206,2649,22,21,445,20,1
1264,2649,21,20,420,20,0
1319,2649,21,19,399,20,0
1377,2648,22,20,412,20,1
1433,2648,21,20,420,20,0
1490,2648,22,20,421,20,0
1548,2648,22,20,440,20,0
1604,2648,22,20,377,20,1
1657,2648,22,20,421,20,0
1716,2648,21,20,402,20,0
1771,2648,22,19,418,20,0
1831,2647,22,20,422,20,0
1887,2647,22,19,402,20,0
1944,2646,22,20,424,20,0
1999,2646,22,20,423,20,0
2056,2646,22,20,423,20,0
2112,2646,22,20,440,20,0
2167,2646,22,20,440,20,0
2316,2643,21,20,420,20,0
460,2710,21,21,423,21,0
518,2709,22,21,462,21,0
575,2709,22,21,447,21,0
634,2708,22,21,462,21,0
691,2707,22,21,443,21,0
750,2707,22,21,447,21,0
807,2706,22,21,445,21,0
865,2706,23,20,460,21,0
922,2705,22,21,462,21,0
979,2704,22,20,424,21,0
1035,2703,22,20,440,21,0
1093,2702,22,20,413,21,1
1151,2701,22,20,424,21,0
1207,2700,21,21,431,21,0
1264,2700,22,20,440,21,0
1320,2699,21,21,424,21,0
1378,2699,21,21,425,21,0
1433,2699,22,20,428,21,0
1491,2698,22,21,462,21,0
1548,2699,23,20,445,21,0
1604,2698,22,21,447,21,0
1658,2698,22,21,431,21,0
1717,2698,21,20,420,21,0
1773,2698,21,20,420,21,0
1832,2698,22,20,396,21,1
1888,2698,22,20,425,21,0
1945,2697,22,20,423,21,0
2001,2697,21,20,420,21,0
2057,2697,23,20,429,21,1
2113,2697,22,20,440,21,0
2168,2697,21,19,399,21,0
2316,2694,22,20,388,21,0
460,2748,22,22,457,22,1
518,2748,22,21,427,22,0
575,2746,22,22,466,22,0
634,2746,22,21,462,22,0
691,2745,23,22,476,22,1
750,2745,22,21,462,22,0
807,2744,22,22,469,22,0
866,2743,23,22,449,22,1
922,2742,23,21,456,22,0
979,2741,22,21,462,22,0
1035,2740,23,21,453,22,0
1094,2739,21,21,426,22,0
1152,2738,21,21,441,22,0
1207,2737,22,21,444,22,0
1265,2737,22,21,431,22,0
1320,2737,22,20,440,22,0
1378,2736,22,21,414,22,0
1434,2736,21,21,441,22,0
1491,2735,22,22,468,22,1
1549,2735,22,22,471,22,0
1605,2735,22,21,443,22,0
1658,2735,23,21,467,22,0
1717,2735,22,21,444,22,0
1773,2735,21,21,441,22,0
1832,2735,22,21,462,22,0
1888,2735,22,21,432,22,0
1945,2734,22,21,422,22,1
2001,2734,22,21,429,22,0
2058,2734,23,20,443,22,0
2113,2734,22,20,424,22,0
2168,2733,22,21,462,22,1
2316,2731,22,20,440,22,0
460,2800,22,21,462,23,0
519,2799,21,22,462,23,0
575,2798,22,22,474,23,1
634,2798,22,22,465,23,0
691,2798,22,20,440,23,0
750,2797,22,21,462,23,0
